product_id,title,price,product_created_at,order_created_at
28,Rustic Marble Bottle,45.41647453836076,2018-03-13 11:24:34.663,2020-04-19 14:07:15.657
176,Enormous Leather Wallet,38.616539622351056,2016-07-29 09:38:22.862,2020-04-19 13:22:16.141
107,Lightweight Wool Plate,33.39659192329691,2017-11-19 08:15:29.093,2020-04-18 21:57:09.873
149,Incredible Aluminum Knife,46.10276691718616,2017-06-15 08:50:11.957,2020-04-18 19:02:16.091
198,Enormous Copper Shirt,46.76407124473339,2017-09-06 19:28:16.574,2020-04-18 11:38:11.871
196,Heavy-Duty Linen Toucan,46.76407124473339,2017-03-08 20:05:27.983,2020-04-18 10:55:52.529
89,Awesome Aluminum Keyboard,42.47974183693326,2016-12-31 05:57:15.715,2020-04-18 04:49:25.691
118,Synergistic Rubber Shoes,38.418408731319154,2016-10-19 00:34:27.911,2020-04-18 02:47:07.011
194,Heavy-Duty Rubber Bottle,33.587182645381546,2016-05-11 09:39:00.357,2020-04-17 22:57:42.964
107,Lightweight Wool Plate,33.39659192329691,2017-11-19 08:15:29.093,2020-04-17 22:34:52.592
192,Durable Cotton Shirt,46.122790137195516,2016-07-28 08:48:29.074,2020-04-17 16:23:51.534
183,Mediocre Aluminum Lamp,37.7982748679465,2016-11-28 02:43:19.996,2020-04-17 11:34:30.142
91,Rustic Rubber Knife,43.39621873587423,2018-09-20 14:53:54.777,2020-04-17 09:53:34.670
160,Lightweight Linen Hat,31.727470408648482,2018-05-03 21:43:50.227,2020-04-17 07:10:13.667
200,Intelligent Steel Car,48.802638078661005,2018-06-12 06:08:53.212,2020-04-17 04:37:03.184
99,Enormous Plastic Coat,45.22324323588729,2018-01-09 10:07:27.255,2020-04-17 00:11:49.891
176,Enormous Leather Wallet,38.616539622351056,2016-07-29 09:38:22.862,2020-04-16 15:26:28.275
197,Aerodynamic Concrete Lamp,46.76407124473339,2017-06-08 08:56:15.049,2020-04-16 15:08:36.901
